sample_index,spontaneous_active,total_active
0,669,2002
1,389,909
2,553,1490
3,161,270
4,338,943
5,254,732
6,630,1933
7,179,313
8,557,1672
9,638,1870
10,562,1683
11,422,881
12,531,2005
13,72,93
14,700,1805
15,772,2923
16,478,2829
17,148,257
18,505,3062
19,584,1605
20,451,1051
21,240,612
22,540,2108
23,378,891
24,289,734
25,320,2460
26,247,1946
27,456,1081
28,436,1166
29,235,492
30,313,780
31,231,442
32,498,1469
33,544,1640
34,489,1287
35,308,689
36,320,696
37,306,1405
38,533,1339
39,416,1058
40,427,1248
41,492,1347
42,648,1887
43,190,1373
44,753,2369
45,405,1828
46,414,2153
47,515,3319
48,313,875
49,104,149
50,110,169
51,206,786
52,517,2303
53,178,940
54,609,1618
55,312,2518
56,670,2107
57,196,399
58,333,2404
59,563,1995
60,422,2707
61,370,721
62,278,475
63,482,1805
64,141,243
65,304,810
66,510,1401
67,766,2265
68,679,2041
69,590,1351
70,328,1514
71,464,914
72,434,822
73,431,2905
74,679,2459
75,228,2085
76,434,1001
77,126,284
78,453,2915
79,202,367
80,418,877
81,438,1097
82,229,584
83,381,1201
84,305,692
85,274,866
86,430,1183
87,407,1923
88,580,1674
89,377,1025
90,224,469
91,716,2070
92,641,1583
93,237,1872
94,263,700
95,393,1069
96,437,1243
97,623,2143
98,109,184
99,361,905
100,294,825
101,84,245
102,495,1580
103,255,533
104,619,2169
105,386,2189
106,331,911
107,474,1200
108,270,528
109,456,2213
110,538,1241
111,329,915
112,263,499
113,220,643
114,115,164
115,493,1022
116,224,1739
117,472,1161
118,304,739
119,307,512
120,298,543
121,129,206
122,480,1341
123,528,3069
124,359,1517
125,364,882
126,352,898
127,426,1931
128,194,349
129,408,2865
130,606,1735
131,423,2106
132,315,570
133,318,623
134,494,1485
135,538,1295
136,189,256
137,329,1845
138,415,1627
139,451,1450
140,714,2135
141,415,2748
142,643,1941
143,444,1034
144,559,2118
145,323,785
146,632,1532
147,364,810
148,455,2519
149,503,2640
150,137,853
151,418,949
152,627,1771
153,542,1532
154,515,1411
155,345,1190
156,473,1280
157,313,582
158,458,1178
159,618,2313
160,460,2181
161,234,384
162,489,1279
163,725,2363
164,459,917
165,377,1056
166,522,1253
167,869,2854
168,644,2784
169,688,2060
170,470,1261
171,357,728
172,551,1698
173,726,1892
174,484,918
175,479,1191
176,433,1265
177,375,1022
178,628,2663
179,189,815
180,365,2524
181,525,1581
182,223,426
183,611,1581
184,405,1037
185,776,2088
186,572,1728
187,243,596
188,259,1004
189,426,941
190,194,342
191,458,996
192,109,141
193,371,682
194,502,1550
195,170,352
196,558,1515
197,537,2460
198,308,518
199,493,1205
200,302,815
201,171,312
202,334,1100
203,373,904
204,517,1440
205,700,1604
206,382,655
207,242,454
208,372,804
209,267,864
210,302,530
211,548,1572
212,347,663
213,651,1957
214,722,2059
215,555,1583
216,323,950
217,546,1863
218,336,915
219,324,832
220,343,1299
221,270,605
222,328,1335
223,336,1591
224,240,475
225,667,2301
226,308,704
227,366,1002
228,430,1115
229,284,842
230,279,681
231,546,1451
232,476,1120
233,526,1288
234,228,1578
235,646,2116
236,494,1631
237,342,854
238,457,868
239,308,1489
240,440,2852
241,514,1371
242,702,2328
243,524,1389
244,281,463
245,345,822
246,123,201
247,400,1062
248,309,603
249,245,483
250,507,1006
251,260,738
252,241,427
253,553,1279
254,722,1721
255,144,375
256,442,1671
257,155,254
258,615,1543
259,652,2047
260,424,1314
261,603,2998
262,831,2520
263,359,584
264,256,520
265,476,1425
266,801,2167
267,517,2087
268,473,1454
269,278,812
270,438,1367
271,343,794
272,273,465
273,279,1152
274,402,794
275,131,201
276,352,763
277,124,238
278,150,299
279,364,2623
280,476,1172
281,799,2685
282,221,2033
283,387,1101
284,660,1774
285,125,225
286,465,1197
287,180,288
288,264,602
289,507,1187
290,400,2616
291,243,433
292,578,1824
293,638,1833
294,420,2939
295,339,670
296,117,200
297,326,597
298,519,1691
299,64,87
300,410,821
301,201,416
302,314,1399
303,216,410
304,521,1108
305,799,2896
306,368,763
307,483,1423
308,459,1011
309,615,2022
310,422,1132
311,644,2155
312,298,615
313,638,1940
314,238,609
315,290,944
316,242,537
317,231,481
318,653,1893
319,293,2126
320,156,266
321,330,603
322,465,1195
323,242,572
324,409,1149
325,313,884
326,465,1075
327,686,1851
328,250,699
329,306,608
330,269,550
331,533,1088
332,163,272
333,431,1051
334,587,1778
335,722,1846
336,248,514
337,491,1084
338,502,1284
339,500,2959
340,370,1292
341,686,2332
342,451,1303
343,683,1923
344,569,1520
345,491,2655
346,414,1123
347,364,951
348,650,1893
349,240,403
350,418,1161
351,301,622
352,440,1088
353,452,1241
354,357,1113
355,543,1225
356,372,1109
357,369,1058
358,415,926
359,515,1898
360,570,1759
361,531,1563
362,335,729
363,182,332
364,72,102
365,722,2304
366,589,1819
367,396,951
368,400,759
369,473,1059
370,747,1890
371,731,1957
372,559,1706
373,335,847
374,392,827
375,756,2109
376,815,2567
377,257,404
378,285,650
379,549,1608
380,198,332
381,770,2151
382,572,3362
383,363,911
384,520,1297
385,407,942
386,689,2450
387,192,330
388,317,1370
389,447,1241
390,581,1799
391,504,1387
392,645,2041
393,767,2824
394,464,1312
395,490,1222
396,233,527
397,604,1914
398,177,294
399,606,1740
400,373,2686
401,606,1713
402,725,2647
403,461,1133
404,372,597
405,232,412
406,473,1139
407,581,1302
408,501,1416
409,215,470
410,610,1733
411,141,216
412,180,272
413,462,2038
414,265,501
415,320,2195
416,690,2339
417,305,2237
418,654,2427
419,313,764
420,354,1014
421,414,874
422,331,773
423,500,2811
424,429,2634
425,459,1529
426,507,1141
427,549,1523
428,418,836
429,570,1724
430,409,774
431,490,1277
432,537,1275
433,476,1202
434,276,524
435,397,793
436,500,963
437,410,1068
438,289,620
439,361,664
440,651,2161
441,283,558
442,677,2182
443,233,430
444,348,634
445,656,2459
446,285,570
447,621,2411
448,414,865
449,310,768
450,649,3291
451,455,2318
452,321,2394
453,514,1255
454,457,1383
455,315,1420
456,126,181
457,334,691
458,538,1214
459,521,1564
460,334,917
461,655,1998
462,85,153
463,301,1991
464,422,928
465,659,2166
466,596,1474
467,584,1571
468,336,804
469,148,225
470,629,1720
471,290,515
472,380,780
473,483,1210
474,630,2559
475,306,760
476,285,591
477,492,1190
478,600,1574
479,433,1057
480,515,1532
481,104,145
482,439,1339
483,269,757
484,448,2215
485,739,2093
486,185,388
487,622,1706
488,288,600
489,220,366
490,321,1633
491,418,805
492,401,939
493,610,1515
494,25,26
495,44,53
496,556,2062
497,525,1774
498,675,2061
